sector_id,year,dva
C31T33,1995,2598.052
C31T33,1996,2732.272
C31T33,1997,2138.618
C31T33,1998,1617.674
C31T33,1999,1875.532
C31T33,2000,2065.84
C31T33,2001,1881.612
C31T33,2002,2050.536
C31T33,2003,2157.132
C31T33,2004,2345.477
C31T33,2005,2337.677
C31T33,2006,2821.585
C31T33,2007,3632.874
C31T33,2008,4012.971
C31T33,2009,4304.771
C31T33,2010,5237.367
C31T33,2011,5585.742
C31T33,2012,6018.12
C31T33,2013,6117.0
C31T33,2014,5712.443
C31T33,2015,5673.32
C31T33,2016,5561.431
C31T33,2017,6118.071
C31T33,2018,6600.226
C31T33,2019,6966.709
C31T33,2020,6944.137
C31T33,2021,7148.781
C31T33,2022,6984.047
D,1995,2990.037
D,1996,3154.35
D,1997,2853.113
D,1998,2617.762
D,1999,2514.149
D,2000,2643.616
D,2001,2753.188
D,2002,2991.539
D,2003,3361.71
D,2004,3860.552
D,2005,4095.022
D,2006,4713.421
D,2007,5389.809
D,2008,5932.96
D,2009,6049.978
D,2010,7112.076
D,2011,7462.511
D,2012,7859.722
D,2013,8462.264
D,2014,8550.018
D,2015,8899.233
D,2016,9012.836
D,2017,10051.39
D,2018,11243.466
D,2019,12445.589
D,2020,11095.904
D,2021,11145.537
D,2022,12461.649
D_E,1995,3519.304
D_E,1996,3691.208
D_E,1997,3361.484
D_E,1998,3048.477
D_E,1999,3022.545
D_E,2000,3174.298
D_E,2001,3266.5
